"Outcome","Variable","coef","mean","S0_at_t","t_pred_days"
"CVD","smoke_qc",-0.00705787059268536,1.71790341578327,NA,NA
"CVD","edu_qc",0.0865245950346536,2.57891637220259,NA,NA
"CVD","occu_qc",-0.0216538699689236,0.364840989399293,NA,NA
"CVD","marriage_qc",-0.0516096195144463,2.16961130742049,NA,NA
"CVD","income_qc",-1.67161928541604e-07,25109.9393384236,NA,NA
"CVD","waist_qc",0.00491778249600587,90.9659934049501,NA,NA
"CVD","hip_qc",-0.00178426249606325,99.8623513377878,NA,NA
"CVD","height_qc",0.00654015254357326,161.589723333172,NA,NA
"CVD","weight_qc",-0.0058990984707751,68.0603356535499,NA,NA
"CVD","drink_qc",0.0127204304729295,1.64458186101296,NA,NA
"CVD","sleephour",0.0344889760762615,7.33221731487042,NA,NA
"CVD","sport_total_met",-0.00112646121563779,15.5797319995543,NA,NA
"CVD","ht_family",-0.0744111191027714,0.890459363957597,NA,NA
"CVD","dm2_family",-0.0811513831560802,0.69640753828033,NA,NA
"CVD","stroke_family",0.111656109690902,0.462897526501767,NA,NA
"CVD","sbp_qc",0.000933061829358056,135.70475857109,NA,NA
"CVD","tc_qc",-0.314084647197639,3.33798782376504,NA,NA
"CVD","fbg_qc",-0.0138276155250363,6.09181433814293,NA,NA
"CVD","sithour",-0.00443392199245332,3.21130153125655,NA,NA
"CVD","dbp_qc",-0.0015915656192063,81.9242129848197,NA,NA
"CVD","hba1c_qc",0.0531401840561069,6.71802120368809,NA,NA
"CVD","hdlc_qc",-0.633590976103541,1.01661948183523,NA,NA
"CVD","ldlc_qc",0.27657696150875,2.33953449155508,NA,NA
"CVD","tg_qc",0.0416448535264431,1.65660392299944,NA,NA
"CVD","apoa_qc",0.291202837505565,1.18567200996929,NA,NA
"CVD","apob_qc",0.0346122530829579,0.793618756937669,NA,NA
"CVD","hr",0.000456178396985276,70.3663133097762,NA,NA
"CVD","druglipo_qc",0.351308741321263,0.0771495877502945,NA,NA
"CVD","drugdiab",0.233211900767599,0.331272084805654,NA,NA
"CVD","drughyper",0.0855111355520972,0.428445229681979,NA,NA
"CVD","HT_is_prevalent",0.207039710901062,0.624852767962309,NA,NA
"CVD","T2D_is_prevalent",0.127393999078462,0.421378091872792,NA,NA
"CVD","hba1c_qc_miss",-0.163713376982446,0.32567726737338,NA,NA
"CVD","hr_miss",-0.337437138149973,0.32567726737338,NA,NA
"CVD","cca_imt_qc",0.223021722507986,0.691063793584511,NA,NA
"CVD","alt",-0.00597809379771805,13.333742640477,NA,NA
"CVD","hscrp",0.00738690802616381,1.82761777942239,NA,NA
"CVD","hcy",0.00370239324715612,17.8204004624145,NA,NA
"CVD","rbpmap_x10",-0.00129666957069516,520.512073027091,NA,NA
"CVD","alt_miss",-1.05328463935003,0.820965842167256,NA,NA
"CVD","hcy_miss",0.644872624084107,0.793580683156655,NA,NA
"HT","age_qc",0.0120280360210196,57.2004080314487,0.795491999584236,1826.25
"HT","sex_qc",0.350417454334784,0.462269424259363,NA,NA
"HT","bmi_qc",0.00801788303849003,25.0602341428566,NA,NA
"HT","ht_family",-0.0206513134891123,0.686416992733371,NA,NA
"HT","smoke_qc",-0.0897175289901165,1.76299608719955,NA,NA
"HT","drink_qc",-0.0339524026207997,1.62828395751817,NA,NA
"HT","sport_total_met",-0.00142012969155383,15.8099138057895,NA,NA
"HT","occu_qc",-0.0598968126647738,0.354387926215763,NA,NA
"HT","income_qc",2.40992504321724e-06,25170.2674585112,NA,NA
"HT","sleephour",0.0463290325493845,7.35939072169368,NA,NA
"HT","dm2_family",-0.128190906094368,0.669647847959754,NA,NA
"HT","stroke_family",0.0595827328815001,0.547233091112353,NA,NA
"HT","fbg_qc",-0.0290003711666875,5.98832080589451,NA,NA
"HT","tg_qc",0.0926053815962451,1.47886441081612,NA,NA
"HT","edu_qc",0.0720035417678205,2.6193404136389,NA,NA
"HT","marriage_qc",0.034469013502633,2.16769144773617,NA,NA
"HT","hip_qc",0.00513300444909824,98.2911111139732,NA,NA
"HT","height_qc",-0.00723456631604879,162.125489227994,NA,NA
"HT","weight_qc",-0.00351908791811786,66.3595863052291,NA,NA
"HT","sbp_qc",0.01419327302974,121.463152642887,NA,NA
"HT","dbp_qc",-0.00377257152344285,74.7156583254,NA,NA
"HT","hba1c_qc",0.0856669487267825,6.66880940084953,NA,NA
"HT","hdlc_qc",-0.465511425289577,1.00388436640788,NA,NA
"HT","tc_qc",-0.220535443825761,3.23771286203983,NA,NA
"HT","apoa_qc",0.275889636890571,1.17528870560296,NA,NA
"HT","hr",-9.94232510686895e-05,71.479038569033,NA,NA
"HT","druglipo_qc",0.445101030970788,0.0799329234209055,NA,NA
"HT","drugdiab",0.208223769545875,0.311347121296814,NA,NA
"HT","T2D_is_prevalent",0.137950955604589,0.396310788149804,NA,NA
"HT","CVD_is_prevalent",0.516213183197003,0.288988261598658,NA,NA
